month,geo,unit,value,geo_label,unit_label
2025-02,NL,I15,126.2,Netherlands,"Index, 2015=100"
2025-03,NL,I15,126.2,Netherlands,"Index, 2015=100"
2025-04,NL,I15,126.2,Netherlands,"Index, 2015=100"
2025-05,NL,I15,126.2,Netherlands,"Index, 2015=100"
2025-06,NL,I15,126.2,Netherlands,"Index, 2015=100"
2025-07,NL,I15,132.36,Netherlands,"Index, 2015=100"
2025-08,NL,I15,132.36,Netherlands,"Index, 2015=100"
2025-09,NL,I15,132.36,Netherlands,"Index, 2015=100"
2025-10,NL,I15,132.36,Netherlands,"Index, 2015=100"
2025-11,NL,I15,132.36,Netherlands,"Index, 2015=100"
2025-12,NL,I15,132.36,Netherlands,"Index, 2015=100"
